證券代號,證券名稱,產業別
1101,台泥,水泥工業
1102,亞泥,水泥工業
1103,嘉泥,水泥工業
1104,環泥,水泥工業
1108,幸福,水泥工業
1109,信大,水泥工業
1110,東泥,水泥工業
1201,味全,食品工業
1203,味王,食品工業
1210,大成,食品工業
1213,大飲,食品工業
1215,卜蜂,食品工業
1216,統一,食品工業
1217,愛之味,食品工業
1218,泰山,食品工業
1219,福壽,食品工業
1220,台榮,食品工業
1225,福懋油,食品工業
1227,佳格,食品工業
1229,聯華,食品工業
1231,聯華食,食品工業
1232,大統益,食品工業
1233,天仁,食品工業
1234,黑松,食品工業
1235,興泰,食品工業
1236,宏亞,食品工業
1256,鮮活果汁-KY,食品工業
1301,台塑,塑膠工業
1303,南亞,塑膠工業
1304,台聚,塑膠工業
1305,華夏,塑膠工業
1307,三芳,塑膠工業
1308,亞聚,塑膠工業
1309,台達化,塑膠工業
1310,台苯,塑膠工業
1312,國喬,塑膠工業
1313,聯成,塑膠工業
1314,中石化,塑膠工業
1315,達新,塑膠工業
1316,上曜,建材營造業
1319,東陽,汽車工業
1321,大洋,塑膠工業
1323,永裕,塑膠工業
1324,地球,塑膠工業
1325,恆大,塑膠工業
1326,台化,塑膠工業
1337,再生-KY,塑膠工業
1338,廣華-KY,汽車工業
1339,昭輝,汽車工業
1340,勝悅-KY,塑膠工業
1341,富林-KY,塑膠工業
1342,八貫,其他業
1402,遠東新,紡織纖維
1409,新纖,紡織纖維
1410,南染,紡織纖維
1413,宏洲,紡織纖維
1414,東和,紡織纖維
1416,廣豐,其他業
1417,嘉裕,紡織纖維
1418,東華,紡織纖維
1419,新紡,紡織纖維
1423,利華,紡織纖維
1432,大魯閣,運動休閒
1434,福懋,紡織纖維
1435,中福,其他業
1436,華友聯,建材營造業
1437,勤益控,其他業
1438,三地開發,建材營造業
1439,雋揚,建材營造業
1440,南紡,紡織纖維
1441,大東,紡織纖維
1442,名軒,建材營造業
1443,立益物流,其他業
1444,力麗,紡織纖維
1445,大宇,紡織纖維
1446,宏和,紡織纖維
1447,力鵬,紡織纖維
1449,佳和,紡織纖維
1451,年興,紡織纖維
1452,宏益,紡織纖維
1453,大將,建材營造業
1454,台富,紡織纖維
1455,集盛,紡織纖維
1456,怡華,建材營造業
1457,宜進,紡織纖維
1459,聯發,紡織纖維
1460,宏遠,紡織纖維
1463,強盛新,紡織纖維
1464,得力,紡織纖維
1465,偉全,紡織纖維
1466,聚隆,紡織纖維
1467,南緯,紡織纖維
1468,昶和,紡織纖維
1470,大統新創,紡織纖維
1471,首利,電子零組件業
1472,三洋實業,建材營造業
1473,台南,紡織纖維
1474,弘裕,紡織纖維
1475,業旺,紡織纖維
1476,儒鴻,紡織纖維
1477,聚陽,紡織纖維
1503,士電,電機機械
1504,東元,電機機械
1506,正道,電機機械
1512,瑞利,汽車工業
1513,中興電,電機機械
1514,亞力,電機機械
1515,力山,電機機械
1516,川飛,其他業
1517,利奇,電機機械
1519,華城,電機機械
1521,大億,汽車工業
1522,堤維西,汽車工業
1524,耿鼎,汽車工業
1525,江申,汽車工業
1526,日馳,電機機械
1527,鑽全,電機機械
1528,恩德,電機機械
1529,樂事綠能,電機機械
1530,亞崴,電機機械
1531,高林股,電機機械
1532,勤美,電機機械
1533,車王電,汽車工業
1535,中宇,電機機械
1536,和大,汽車工業
1537,廣隆,電機機械
1538,正峰,電機機械
1539,巨庭,電機機械
1540,喬福,電機機械
1541,錩泰,電機機械
1558,伸興,電機機械
1560,中砂,電機機械
1563,巧新,汽車工業
1568,倉佑,汽車工業
1582,信錦,電子零組件業
1583,程泰,電機機械
1587,吉茂,汽車工業
1589,永冠-KY,電機機械
1590,亞德客-KY,電機機械
1597,直得,電機機械
1598,岱宇,運動休閒
1603,華電,電器電纜
1604,聲寶,電器電纜
1605,華新,電器電纜
1608,華榮,電器電纜
1609,大亞,電器電纜
1611,中電,電器電纜
1612,宏泰,電器電纜
1614,三洋電,電器電纜
1615,大山,電器電纜
1616,億泰,電器電纜
1617,榮星,電器電纜
1618,合機,電器電纜
1626,艾美特-KY,電器電纜
1702,南僑,食品工業
1707,葡萄王,生技醫療業
1708,東鹼,化學工業
1709,和益,化學工業
1710,東聯,化學工業
1711,永光,化學工業
1712,興農,化學工業
1713,國化,化學工業
1714,和桐,化學工業
1717,長興,化學工業
1718,中纖,化學工業
1720,生達,生技醫療業
1721,三晃,化學工業
1722,台肥,化學工業
1723,中碳,化學工業
1725,元禎,化學工業
1726,永記,化學工業
1727,中華化,化學工業
1730,花仙子,化學工業
1731,美吾華,生技醫療業
1732,毛寶,化學工業
1733,五鼎,生技醫療業
1734,杏輝,生技醫療業
1735,日勝化,化學工業
1736,喬山,運動休閒
1737,臺鹽,食品工業
1752,南光,生技醫療業
1760,寶齡富錦,生技醫療業
1762,中化生,生技醫療業
1773,勝一,化學工業
1776,展宇,化學工業
1783,和康生,生技醫療業
1786,科妍,生技醫療業
1789,神隆,生技醫療業
1795,美時,生技醫療業
1802,台玻,玻璃陶瓷
1805,寶徠,建材營造業
1806,冠軍,玻璃陶瓷
1808,潤隆,建材營造業
1809,中釉,玻璃陶瓷
1810,和成,玻璃陶瓷
1817,凱撒衛,玻璃陶瓷
1903,士紙,造紙工業
1904,正隆,造紙工業
1905,華紙,造紙工業
1906,寶隆,造紙工業
1907,永豐餘,造紙工業
1909,榮成,造紙工業
2002,中鋼,鋼鐵工業
2006,東和鋼鐵,鋼鐵工業
2007,燁興,鋼鐵工業
2008,高興昌,鋼鐵工業
2009,第一銅,鋼鐵工業
2010,春源,鋼鐵工業
2012,春雨,鋼鐵工業
2013,中鋼構,鋼鐵工業
2014,中鴻,鋼鐵工業
2015,豐興,鋼鐵工業
2017,官田鋼,鋼鐵工業
2020,美亞,鋼鐵工業
2022,聚亨,鋼鐵工業
2023,燁輝,鋼鐵工業
2024,志聯,鋼鐵工業
2025,千興,鋼鐵工業
2027,大成鋼,鋼鐵工業
2028,威致,鋼鐵工業
2029,盛餘,鋼鐵工業
2030,彰源,鋼鐵工業
2031,新光鋼,鋼鐵工業
2032,新鋼,鋼鐵工業
2033,佳大,鋼鐵工業
2034,允強,鋼鐵工業
2038,海光,鋼鐵工業
2049,上銀,電機機械
2059,川湖,電子零組件業
2062,橋椿,居家生活
2069,運錩,鋼鐵工業
2101,南港,橡膠工業
2102,泰豐,橡膠工業
2103,台橡,橡膠工業
2104,國際中橡,橡膠工業
2105,正新,橡膠工業
2106,建大,橡膠工業
2107,厚生,橡膠工業
2108,南帝,橡膠工業
2109,華豐,橡膠工業
2114,鑫永銓,橡膠工業
2115,六暉-KY,汽車工業
2201,裕隆,汽車工業
2204,中華,汽車工業
2206,三陽工業,汽車工業
2207,和泰車,汽車工業
2208,台船,航運業
2211,長榮鋼,鋼鐵工業
2227,裕日車,汽車工業
2228,劍麟,汽車工業
2231,為升,汽車工業
2233,宇隆,汽車工業
2236,百達-KY,汽車工業
2239,英利-KY,汽車工業
2241,艾姆勒,汽車工業
2243,宏旭-KY,汽車工業
2247,汎德永業,汽車工業
2248,華勝-KY,汽車工業
2250,IKKA-KY,汽車工業
2301,光寶科,電腦及週邊設備業
2302,麗正,半導體業
2303,聯電,半導體業
2305,全友,電腦及週邊設備業
2308,台達電,電子零組件業
2312,金寶,其他電子業
2313,華通,電子零組件業
2314,台揚,通信網路業
2316,楠梓電,電子零組件業
2317,鴻海,其他電子業
2321,東訊,通信網路業
